session_id,remote_ip,remote_port,host_name,resource_name,technical_subtitle,provider,country,service,total_bytes,first_seen,last_seen,status
"192.168.1.152:42419","192.168.1.152","42419","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:26","21/08/2026, 14:37:26","active"
"192.168.1.152:39465","192.168.1.152","39465","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:26","21/08/2026, 14:37:26","active"
"192.168.1.129:8001","192.168.1.129","8001","samsung.homenet.telecomitalia.sm","samsung.homenet.telecomitalia.sm","telecomitalia.sm","","??","Port: 8001","10947","19/08/2026, 14:44:00","21/08/2026, 14:37:26","active"
"192.168.1.152:8001","192.168.1.152","8001","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","","??","Port: 8001","11172","19/08/2026, 14:44:00","21/08/2026, 14:37:26","active"
"35.186.224.39:443","35.186.224.39","443","x.com","x.com","x.com","","US","HTTPS","973","19/08/2026, 14:44:15","21/08/2026, 14:37:26","active"
"142.251.155.2:443","142.251.155.2","443","gemini.google.com","gemini.google.com","","Google Cloud","US","HTTPS","440","21/08/2026, 14:06:35","21/08/2026, 14:37:26","active"
"4.207.247.137:443","4.207.247.137","443","4.207.247.137","client.wns.windows.com","","","US","HTTPS","389","21/08/2026, 14:07:24","21/08/2026, 14:37:26","active"
"192.168.1.115:43129","192.168.1.115","43129","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:43763","192.168.1.115","43763","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:41471","192.168.1.115","41471","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","481","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:48985","192.168.1.115","48985","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:45497","192.168.1.115","45497","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:37540","192.168.1.115","37540","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1331","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:39860","192.168.1.115","39860","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:44150","192.168.1.115","44150","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","481","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:37362","192.168.1.115","37362","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:53669","192.168.1.115","53669","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:32922","192.168.1.115","32922","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1331","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.152:56319","192.168.1.152","56319","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:50540","192.168.1.115","50540","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:38641","192.168.1.115","38641","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:47768","192.168.1.115","47768","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.115:55251","192.168.1.115","55251","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1341","21/08/2026, 14:37:21","21/08/2026, 14:37:21","active"
"192.168.1.182:5353","192.168.1.182","5353","192.168.1.182","Risorsa Web","","","??","Port: 5353","7680","19/08/2026, 14:44:28","21/08/2026, 14:37:21","active"
"20.199.39.224:443","20.199.39.224","443","20.199.39.224","Risorsa Web","","Microsoft Azure","US","Port: 56004","93","21/08/2026, 14:22:02","21/08/2026, 14:37:21","active"
"192.168.1.115:55833","192.168.1.115","55833","192.168.1.115","Risorsa Web","","","??","Port: 1900","1333","21/08/2026, 14:08:03","21/08/2026, 14:37:21","active"
"151.101.242.172:80","151.101.242.172","80","x.com","x.com","x.com","N/A","IT","HTTP","164","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"184.25.53.217:443","184.25.53.217","443","a184-25-53-217.deploy.static.akamaitechnologies.com","a184-25-53-217.deploy.static.akamaitechnologies.com","akamaitechnologies.com","N/A","US","Port: 63242","195","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"184.25.54.43:443","184.25.54.43","443","a184-25-54-43.deploy.static.akamaitechnologies.com","a184-25-54-43.deploy.static.akamaitechnologies.com","akamaitechnologies.com","N/A","US","Port: 63243","195","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"192.168.1.115:35511","192.168.1.115","35511","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"192.168.1.115:33376","192.168.1.115","33376","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","461","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"192.168.1.115:59556","192.168.1.115","59556","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"192.168.1.115:39426","192.168.1.115","39426","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1341","21/08/2026, 14:37:18","21/08/2026, 14:37:18","active"
"140.82.112.21:443","140.82.112.21","443","x.com","x.com","x.com","","US","Port: 55737","1648783","21/08/2026, 14:37:02","21/08/2026, 14:37:18","active"
"155.133.248.43:27018","155.133.248.43","27018","cmp2-ams1.steamserver.net","cmp2-ams1.steamserver.net","","","NL","Port: 55133","553","21/08/2026, 14:06:44","21/08/2026, 14:37:18","active"
"192.168.1.152:39973","192.168.1.152","39973","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:17","21/08/2026, 14:37:17","active"
"192.168.1.152:48680","192.168.1.152","48680","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:17","21/08/2026, 14:37:17","active"
"192.168.1.115:52397","192.168.1.115","52397","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:17","21/08/2026, 14:37:17","active"
"192.168.1.115:45498","192.168.1.115","45498","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1341","21/08/2026, 14:37:17","21/08/2026, 14:37:17","active"
"18.208.91.13:8882","18.208.91.13","8882","18.208.91.13","Risorsa Web","ec2-18-208-91-13.compute-1.amazonaws.com","Amazon AWS","US","Port: 8882","1004","21/08/2026, 14:06:37","21/08/2026, 14:37:17","active"
"192.168.1.181:5353","192.168.1.181","5353","tab-s8-di-lorenzo.homenet.telecomitalia.sm","tab-s8-di-lorenzo.homenet.telecomitalia.sm","telecomitalia.sm","","??","Port: 5353","768","21/08/2026, 14:06:31","21/08/2026, 14:37:17","active"
"100.51.90.255:8885","100.51.90.255","8885","100.51.90.255","nc-mqtt.nordpass.com","ec2-100-51-90-255.compute-1.amazonaws.com","Amazon AWS","US","Port: 8885","184","21/08/2026, 14:06:35","21/08/2026, 14:37:17","active"
"192.168.1.187:5353","192.168.1.187","5353","s22-di-bollini.homenet.telecomitalia.sm","s22-di-bollini.homenet.telecomitalia.sm","telecomitalia.sm","","??","Port: 5353","952","21/08/2026, 14:36:09","21/08/2026, 14:37:17","active"
"192.168.1.115:35485","192.168.1.115","35485","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.115:53250","192.168.1.115","53250","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1341","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.152:39254","192.168.1.152","39254","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.115:56193","192.168.1.115","56193","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.115:40756","192.168.1.115","40756","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1331","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.115:50494","192.168.1.115","50494","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","471","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.115:44890","192.168.1.115","44890","192.168.1.115","Risorsa Web","","N/A","??","Port: 1900","1331","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.152:42817","192.168.1.152","42817","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"192.168.1.152:44288","192.168.1.152","44288","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","N/A","??","Port: 15600","61","21/08/2026, 14:37:10","21/08/2026, 14:37:10","active"
"162.159.134.234:443","162.159.134.234","443","162.159.134.234","Risorsa Web","","","??","HTTPS","7383","21/08/2026, 14:06:34","21/08/2026, 14:37:10","active"
"192.178.194.95:443","192.178.194.95","443","push.clients6.google.com","push.clients6.google.com","google.com","Google Cloud","US","HTTPS","1444","19/08/2026, 14:44:11","21/08/2026, 14:37:10","active"
"20.184.175.12:443","20.184.175.12","443","20.184.175.12","Risorsa Web","","Microsoft Azure","US","Port: 57587","131973","21/08/2026, 14:35:51","21/08/2026, 14:37:10","active"
"34.107.243.93:443","34.107.243.93","443","x.com","x.com","x.com","","US","Port: 61321","496","19/08/2026, 14:44:15","21/08/2026, 14:37:01","active"
"192.168.1.152:54348","192.168.1.152","54348","samsung-2.homenet.telecomitalia.sm","samsung-2.homenet.telecomitalia.sm","telecomitalia.sm","","??","Port: 15600","63","21/08/2026, 14:37:01","21/08/2026, 14:37:01","active"
"192.168.1.115:54061","192.168.1.115","54061","192.168.1.115","Risorsa Web","","","??","Port: 1900","484","19/08/2026, 14:44:32","21/08/2026, 14:36:59","idle"
"192.168.1.115:43788","192.168.1.115","43788","192.168.1.115","Risorsa Web","","","??","Port: 1900","1333","21/08/2026, 14:36:59","21/08/2026, 14:36:59","idle"
"192.168.1.115:50342","192.168.1.115","50342","192.168.1.115","Risorsa Web","","","??","Port: 1900","462","21/08/2026, 14:36:59","21/08/2026, 14:36:59","idle"
"192.168.1.115:47563","192.168.1.115","47563","192.168.1.115","Risorsa Web","","","??","Port: 1900","466","21/08/2026, 14:36:59","21/08/2026, 14:36:59","idle"
"192.168.1.115:35968","192.168.1.115","35968","192.168.1.115","Risorsa Web","","","??","Port: 1900","484","21/08/2026, 14:36:59","21/08/2026, 14:36:59","idle"
